,Swaption,expiry,tenor,alpha,beta,rho,nu
0,1.0Yx1.0Y,1.0,1.0,0.13907382061530388,0.9,-0.6332225394916093,2.0494162908724105
1,1.0Yx2.0Y,1.0,2.0,0.18464989952755365,0.9,-0.5251144222476557,1.6773828202187977
2,1.0Yx3.0Y,1.0,3.0,0.19685207836914786,0.9,-0.48284849436046373,1.4381195215480096
3,1.0Yx5.0Y,1.0,5.0,0.17804234471753091,0.9,-0.41442014569835894,1.0649746953141521
4,1.0Yx10.0Y,1.0,10.0,0.17114285878066884,0.9,-0.26590752076027524,0.7772781405797888
5,5.0Yx1.0Y,5.0,1.0,0.16661823130644085,0.9,-0.5856684103664453,1.340427030756581
6,5.0Yx2.0Y,5.0,2.0,0.1995335001751035,0.9,-0.5470281920393509,1.0620037750167963
7,5.0Yx3.0Y,5.0,3.0,0.21030545587759425,0.9,-0.5495826995299995,0.9366014416369225
8,5.0Yx5.0Y,5.0,5.0,0.19097226962763,0.9,-0.5110095891437576,0.6720141849402497
9,5.0Yx10.0Y,5.0,10.0,0.17705110590364487,0.9,-0.4385244688423678,0.4974650378417076
10,10.0Yx1.0Y,10.0,1.0,0.17824663365675822,0.9,-0.5483094851998371,1.0101406556000299
11,10.0Yx2.0Y,10.0,2.0,0.19618446872009254,0.9,-0.5471425320457942,0.9282036340731221
12,10.0Yx3.0Y,10.0,3.0,0.20776910424400696,0.9,-0.5523027260670489,0.8703908310295382
13,10.0Yx5.0Y,10.0,5.0,0.19916746069455865,0.9,-0.5561521213535631,0.7194347869793775
14,10.0Yx10.0Y,10.0,10.0,0.17634725100213214,0.9,-0.4866004299967858,0.5824704543780433
