,Expiry,Tenor,Swap Rate,PVBP
0,1,1,0.0320069991224983,0.9944003027046755
1,1,2,0.0332592257509248,1.9852943450964766
2,1,3,0.0340107263252702,2.9723856176880323
3,1,5,0.0352554715328091,4.934070110223515
4,1,10,0.0384279642248164,9.747887002311485
5,5,1,0.0392740369680996,0.9785172403064735
6,5,2,0.0400748610940795,1.9521453080437823
7,5,3,0.0400722464578409,2.920443858621411
8,5,5,0.0410932287662861,4.840612063707113
9,5,10,0.0436336455273006,9.542491609302033
10,10,1,0.0421892371402594,0.9517220686873316
11,10,2,0.0431157364030828,1.8977710575904894
12,10,3,0.0440971249880784,2.8381469667094734
13,10,5,0.0462490192094554,4.70187954559492
14,10,10,0.0534575291438597,9.264214201569985
